期号  	开奖日期	开奖号码
2021068	2021-06-16(三)	02 20 21 26 30 02 10 
2021067	2021-06-14(一)	01 04 22 23 34 08 09 
2021066	2021-06-12(六)	24 26 29 34 35 09 11 
2021065	2021-06-09(三)	23 25 30 31 35 07 08 
2021064	2021-06-07(一)	01 17 19 32 34 06 10 
2021063	2021-06-05(六)	05 09 14 29 30 09 11 
2021062	2021-06-02(三)	04 06 23 32 34 05 07 
2021061	2021-05-31(一)	15 19 20 26 32 04 07 
2021060	2021-05-29(六)	09 13 25 31 33 03 07 
2021059	2021-05-26(三)	04 16 27 28 35 02 09 
2021058	2021-05-24(一)	13 15 17 23 34 01 11 
2021057	2021-05-22(六)	05 07 19 20 28 05 07 
2021056	2021-05-19(三)	03 11 16 21 26 09 10 
2021055	2021-05-17(一)	03 06 10 11 24 10 11 
2021054	2021-05-15(六)	03 06 17 20 25 03 9 
2021053	2021-05-12(三)	03 06 15 17 35 07 11 
2021052	2021-05-10(一)	02 11 13 14 30 09 12 
2021051	2021-05-08(六)	01 04 14 16 19 03 04 
2021050	2021-05-05(三)	09 22 32 33 35 05 10 
2021049	2021-05-03(一)	01 10 22 23 25 02 12 
2021048	2021-05-01(六)	04 07 17 21 27 10 12 
2021047	2021-04-28(三)	01 06 09 25 33 04 08 
2021046	2021-04-26(一)	06 08 12 14 18 06 08 
2021045	2021-04-24(六)	01 04 06 11 19 07 09 
2021044	2021-04-21(三)	06 18 31 33 35 10 11 
2021043	2021-04-19(一)	07 12 17 19 34 01 10 
2021042	2021-04-17(六)	09 15 20 23 29 04 05 
2021041	2021-04-14(三)	02 05 09 11 32 04 09 
2021040	2021-04-12(一)	02 03 09 16 19 03 07 
2021039	2021-04-10(六)	04 12 14 21 35 02 11 
2021038	2021-04-07(三)	09 11 20 29 32 01 07 
2021037	2021-04-05(一)	10 21 27 29 33 04 12 
2021036	2021-04-03(六)	08 17 25 28 33 07 11 
2021035	2021-03-31(三)	05 11 16 30 32 03 04 
2021034	2021-03-29(一)	08 10 14 25 34 07 08 
2021033	2021-03-27(六)	01 03 05 30 32 01 05 
2021032	2021-03-24(三)	01 11 14 34 35 07 10 
2021031	2021-03-22(一)	01 04 19 20 34 03 05 
2021030	2021-03-20(六)	18 23 25 26 32 02 07 
2021029	2021-03-17(三)	02 06 10 32 33 04 07 
2021028	2021-03-15(一)	02 03 05 17 29 04 10 
2021027	2021-03-13(六)	09 21 22 26 30 04 12 
2021026	2021-03-10(三)	07 11 20 24 27 01 11 
2021025	2021-03-08(一)	17 18 23 30 31 10 12 
2021024	2021-03-06(六)	11 14 21 24 31 02 10 
2021023	2021-03-03(三)	07 09 13 16 32 02 09 
2021022	2021-03-01(一)	02 12 22 30 33 02 04 
2021021	2021-02-27(六)	16 18 29 33 35 09 12 
2021020	2021-02-24(三)	07 21 22 30 33 04 06 
2021019	2021-02-22(一)	01 12 13 28 29 03 04 
2021018	2021-02-20(六)	02 20 23 26 34 05 10 
2021017	2021-02-08(一)	17 21 26 29 32 02 07 
2021016	2021-02-06(六)	08 09 10 19 34 01 02 
2021015	2021-02-03(三)	04 08 17 19 25 01 07 
2021014	2021-02-01(一)	07 13 20 27 29 04 09 
2021013	2021-01-30(六)	21 27 28 30 34 08 11 
2021012	2021-01-27(三)	06 12 20 23 33 01 09 
2021011	2021-01-25(一)	06 09 11 14 21 01 03 
2021010	2021-01-23(六)	01 05 16 22 34 08 11 
2021009	2021-01-20(三)	01 03 20 29 32 05 12 
2021008	2021-01-18(一)	05 19 20 27 33 03 08 
2021007	2021-01-16(六)	05 23 30 34 35 08 10 
2021006	2021-01-13(三)	04 22 25 28 35 04 05 
2021005	2021-01-11(一)	03 07 10 12 35 03 05 
2021004	2021-01-09(六)	05 10 17 23 28 02 08 
2021003	2021-01-06(三)	07 21 28 31 35 04 10 
2021002	2021-01-04(一)	02 16 26 31 34 09 11 
2021001	2021-01-02(六)	02 06 12 19 33 08 09 
2020134	2020-12-30(三)	08 11 13 22 25 04 07 
2020133	2020-12-28(一)	11 24 26 33 35 08 09 
2020132	2020-12-26(六)	03 15 16 17 21 07 10 
2020131	2020-12-23(三)	08 25 27 29 35 02 03 
2020130	2020-12-21(一)	16 17 23 26 32 02 12 
2020129	2020-12-19(六)	10 22 27 33 34 01 11 
2020128	2020-12-16(三)	09 12 13 26 33 04 10 
2020127	2020-12-14(一)	01 04 17 18 26 03 10 
2020126	2020-12-12(六)	01 04 09 22 28 04 12 
2020125	2020-12-09(三)	01 02 03 08 22 01 04 
2020124	2020-12-07(一)	11 15 24 26 35 04 05 
2020123	2020-12-05(六)	01 07 11 15 21 04 11 
2020122	2020-12-02(三)	08 19 29 34 35 06 11 
2020121	2020-11-30(一)	09 17 27 28 35 03 08 
2020120	2020-11-28(六)	05 25 26 30 35 04 10 
2020119	2020-11-25(三)	14 22 24 28 32 07 08 
2020118	2020-11-23(一)	01 09 15 30 33 04 09 
2020117	2020-11-21(六)	07 19 20 23 24 05 10 
2020116	2020-11-18(三)	08 10 12 16 22 03 09 
2020115	2020-11-16(一)	01 09 18 19 23 01 09 
2020114	2020-11-14(六)	10 12 21 24 30 03 07 
2020113	2020-11-11(三)	06 14 18 28 33 02 05 
2020112	2020-11-09(一)	08 11 13 30 32 02 06 
2020111	2020-11-07(六)	05 07 09 20 28 02 07 
2020110	2020-11-04(三)	11 16 20 21 28 05 11 
2020109	2020-11-02(一)	02 20 21 23 32 06 12 
2020108	2020-10-31(六)	02 03 06 07 33 08 09 
2020107	2020-10-28(三)	01 04 13 17 28 03 07 
2020106	2020-10-26(一)	02 03 11 14 27 04 10 
2020105	2020-10-24(六)	03 08 12 13 22 04 12 
2020104	2020-10-21(三)	03 12 23 26 30 04 07 
2020103	2020-10-19(一)	07 12 13 19 23 02 08 
2020102	2020-10-17(六)	07 11 18 20 29 09 12 
2020101	2020-10-14(三)	03 04 05 09 34 07 09 
2020100	2020-10-12(一)	04 05 08 22 33 07 10 
2020099	2020-10-10(六)	02 03 11 15 27 04 12 
2020098	2020-10-07(三)	04 09 15 24 35 04 10 
2020097	2020-10-05(一)	05 25 27 30 34 06 12 
2020096	2020-09-30(三)	07 08 10 25 28 03 11 
2020095	2020-09-28(一)	02 18 25 26 32 02 07 
2020094	2020-09-26(六)	04 06 07 08 16 02 08 
2020093	2020-09-23(三)	06 14 25 27 28 04 11 
2020092	2020-09-21(一)	08 11 17 31 35 07 11 
2020091	2020-09-19(六)	12 16 20 23 31 05 12 
2020090	2020-09-16(三)	05 06 27 28 29 11 12 
2020089	2020-09-14(一)	13 16 20 22 27 01 02 
2020088	2020-09-12(六)	02 07 23 26 35 01 12 
2020087	2020-09-09(三)	01 04 20 23 29 04 08 
2020086	2020-09-07(一)	08 11 15 20 28 04 10 
2020085	2020-09-05(六)	03 04 11 15 28 02 03 
2020084	2020-09-02(三)	02 10 20 24 31 06 12 
2020083	2020-08-31(一)	01 02 17 32 34 04 09 
2020082	2020-08-29(六)	02 11 12 21 34 04 08 
2020081	2020-08-26(三)	01 13 15 32 35 08 10 
2020080	2020-08-24(一)	03 06 22 24 25 09 10 
2020079	2020-08-22(六)	04 16 24 29 35 02 12 
2020078	2020-08-19(三)	14 18 20 28 34 10 11 
2020077	2020-08-17(一)	17 23 28 29 32 01 03 
2020076	2020-08-15(六)	01 08 18 28 30 10 12 
2020075	2020-08-12(三)	02 09 10 21 35 01 07 
2020074	2020-08-10(一)	03 09 10 12 21 04 11 
2020073	2020-08-08(六)	04 10 12 23 27 08 09 
2020072	2020-08-05(三)	11 15 18 20 27 05 06 
2020071	2020-08-03(一)	01 12 16 28 33 03 12 
2020070	2020-08-01(六)	01 22 30 31 32 04 12 
2020069	2020-07-29(三)	05 07 26 30 31 07 10 
2020068	2020-07-27(一)	15 20 23 26 33 02 08 
2020067	2020-07-25(六)	01 08 14 16 28 04 10 
2020066	2020-07-22(三)	06 14 21 34 35 03 10 
2020065	2020-07-20(一)	13 15 26 32 33 05 07 
2020064	2020-07-18(六)	05 10 23 34 35 01 11 
2020063	2020-07-15(三)	11 18 20 21 33 06 07 
2020062	2020-07-13(一)	01 05 14 23 31 02 07 
2020061	2020-07-11(六)	07 08 12 21 26 01 06 
2020060	2020-07-08(三)	12 14 25 34 35 03 12 
2020059	2020-07-06(一)	01 15 22 28 32 03 11 
2020058	2020-07-04(六)	01 15 19 26 27 05 10 
2020057	2020-07-01(三)	17 20 21 22 31 02 08 
2020056	2020-06-29(一)	03 11 25 29 34 03 06 
2020055	2020-06-27(六)	03 04 12 18 34 10 12 
2020054	2020-06-24(三)	11 14 15 19 20 03 07 
2020053	2020-06-22(一)	02 15 18 21 27 03 06 
2020052	2020-06-20(六)	09 11 26 28 35 06 07 
2020051	2020-06-17(三)	02 07 09 19 33 01 07 
2020050	2020-06-15(一)	03 14 16 22 34 02 06 
2020049	2020-06-13(六)	03 11 15 22 30 08 10 
2020048	2020-06-10(三)	03 09 10 15 16 07 09 
2020047	2020-06-08(一)	04 18 27 28 30 03 10 
2020046	2020-06-06(六)	15 24 27 30 34 04 12 
2020045	2020-06-03(三)	02 09 16 23 27 03 08 
2020044	2020-06-01(一)	01 03 22 28 30 02 05 
2020043	2020-05-30(六)	12 13 17 31 32 01 06 
2020042	2020-05-27(三)	03 04 05 11 22 05 06 
2020041	2020-05-25(一)	07 13 20 29 34 04 07 
2020040	2020-05-23(六)	02 17 20 28 29 01 07 
